"Team","GP","W","L","OT","P","ROW","HROW","RROW","P%","G/GP","GA/GP","5-5 F/A","PP%","PK%","S/GP","SA/GP","Sc 1%","Tr 1st%","Ld 1%","Ld 2%","OS%","OSB%","FO%"
"NY RANGERS","82","53","22","7","113","49","23","26",".689","3.02","2.28","1.32","16.8","84.3","31.5","29.5",".820",".375",".853",".973",".625",".656","46.7"
"ST LOUIS","82","51","24","7","109","42","23","19",".665","2.92","2.40","1.18","22.3","83.7","30.9","27.2",".783",".417",".808",".842",".660",".556","53.4"
"ANAHEIM","82","51","24","7","109","43","21","22",".665","2.78","2.70","1.04","15.7","81.0","30.0","28.9",".766",".429",".813",".938",".590",".643","51.6"
"MONTREAL","82","50","22","10","110","43","25","18",".671","2.61","2.24","1.18","16.5","83.7","28.5","30.1",".821",".419",".714",".865",".611",".585","52.1"
"TAMPA BAY","82","50","24","8","108","47","30","17",".659","3.16","2.51","1.28","18.8","83.7","29.6","27.9",".761",".417",".833",".943",".622",".606","49.7"
"CHICAGO","82","48","28","6","102","39","19","20",".622","2.68","2.27","1.19","17.6","83.4","33.9","30.2",".761",".361",".897","1.000",".596",".586","52.0"
"VANCOUVER","82","48","29","5","101","42","21","21",".616","2.88","2.68","0.96","19.3","85.7","29.9","29.8",".771",".447",".773",".882",".650",".524","46.7"
"NASHVILLE","82","47","25","10","104","41","24","17",".634","2.76","2.46","1.26","16.2","80.8","31.9","28.3",".711",".455",".741",".771",".630",".529","48.9"
"NY ISLANDERS","82","47","28","7","101","40","22","18",".616","2.99","2.73","1.08","18.7","78.0","33.8","28.3",".592",".545",".667",".781",".607",".476","49.2"
"MINNESOTA","82","46","28","8","100","42","20","22",".610","2.77","2.42","1.14","15.8","86.3","30.8","27.6",".778",".297",".844",".875",".519",".667","49.9"
"WASHINGTON","82","45","26","11","101","40","20","20",".616","2.89","2.43","1.08","25.3","81.2","29.5","28.9",".860",".205",".867",".875",".526",".486","51.2"
"CALGARY","82","45","30","7","97","41","21","20",".591","2.89","2.60","1.04","18.8","80.6","27.5","29.2",".694",".435",".889",".923",".455",".591","47.4"
"DETROIT","82","43","25","14","100","39","21","18",".610","2.82","2.57","1.05","23.8","80.9","29.6","28.3",".595",".450",".882",".839",".523",".528","51.5"
"OTTAWA","82","43","26","13","99","37","21","16",".604","2.83","2.54","1.09","16.8","82.9","31.0","32.1",".587",".444",".696",".821",".533",".522","48.2"
"WINNIPEG","82","43","26","13","99","36","20","16",".604","2.72","2.49","1.15","17.8","81.8","29.7","28.7",".653",".333",".676",".789",".543",".500","48.9"
"PITTSBURGH","82","43","27","12","98","39","21","18",".598","2.65","2.49","1.09","19.3","84.8","31.6","29.3",".673",".303",".735",".882",".587",".485","49.1"
"COLUMBUS","82","42","35","5","89","33","15","18",".543","2.77","3.02","0.88","21.7","80.2","28.9","33.4",".730",".333",".815",".833",".417",".558","49.3"
"BOSTON","82","41","27","14","96","37","22","15",".585","2.55","2.45","1.04","17.8","82.0","31.0","29.9",".674",".308",".742",".871",".512",".471","53.6"
"DALLAS","82","41","31","10","92","37","17","20",".561","3.13","3.13","0.98","19.0","80.7","31.2","29.9",".644",".324",".750",".763",".357",".611","51.8"
"LOS ANGELES","82","40","27","15","95","38","23","15",".579","2.66","2.40","1.18","19.0","80.9","30.9","27.0",".659",".317",".724",".771",".545",".435","51.3"
"SAN JOSE","82","40","33","9","89","36","18","18",".543","2.73","2.76","0.91","21.6","78.5","31.6","29.7",".707",".268",".786",".800",".500",".500","51.9"
"COLORADO","82","39","31","12","90","29","17","12",".549","2.55","2.72","0.99","15.0","84.6","27.9","33.2",".676",".311",".696",".852",".600",".418","50.8"
"FLORIDA","82","38","29","15","91","30","17","13",".555","2.42","2.60","1.03","16.3","80.0","30.7","29.6",".697",".306",".789",".750",".386",".541","48.6"
"PHILADELPHIA","82","33","31","18","84","30","20","10",".512","2.58","2.72","1.01","23.4","77.1","29.4","30.3",".688",".220",".731",".864",".475",".341","51.1"
"NEW JERSEY","82","32","36","14","78","27","14","13",".476","2.15","2.55","0.93","19.3","80.6","24.5","30.7",".533",".216",".593",".781",".235",".438","47.3"
"CAROLINA","82","30","41","11","71","25","15","10",".433","2.23","2.67","0.76","18.8","84.7","30.8","27.3",".611",".174",".708",".759",".423",".250","53.0"
"TORONTO","82","30","44","8","68","25","19","6",".415","2.51","3.13","0.80","15.9","80.4","29.2","33.5",".677",".176",".762",".826",".375",".382","49.0"
"EDMONTON","82","24","44","14","62","19","13","6",".378","2.35","3.37","0.68","17.7","76.7","28.4","30.0",".471",".167",".435",".630",".333",".273","48.2"
"ARIZONA","82","24","50","8","56","19","9","10",".341","2.01","3.26","0.62","20.0","76.7","29.2","33.2",".424",".204",".522",".824",".385",".259","51.8"
"BUFFALO","82","23","51","8","54","15","10","5",".329","1.87","3.28","0.61","13.4","75.1","24.2","35.6",".528",".087",".563",".647",".500",".246","44.9"
